"site_id","point_number","local_aquifer_code","measurement_date","depth_to_water_ft","land_surface_elevation_ft_navd88","groundwater_elevation_ft_navd88","longitude_nad83","latitude_nad83","coordinate_datum"
"343023092584801",1,"330STNL","2017-07-26",12.74,528,515,-92.97997222,34.50630556,"NAD83"
"343029092593001",2,"330STNL","2017-07-24",14.76,503,488,-92.9582361,34.50794444,"NAD83"
"343047092571101",3,"330STNL","2017-07-24",17.55,585,567,-92.9533056,34.5135,"NAD83"
"343047092571201",4,"330STNL","2017-08-01",29.06,599,570,-92.9531806,34.5130111,"NAD83"
"343051092575401",5,"330STNL","2017-07-25",25.11,542,517,-92.9649167,34.51419444,"NAD83"
"343056093001701",6,"330STNL","2017-07-26",10.96,454,443,-93.0046389,34.5155,"NAD83"
"343150092594901",7,"330STNL","2017-07-26",24.03,592,568,-92.9968333,34.5304722,"NAD83"
"343229092585201",9,"330STNL","2017-07-26",5.3,555,550,-92.9810278,34.5413611,"NAD83"
"343103092581101",16,"330STNL","2017-07-28",57.28,658,601,-92.9699444,34.5175,"NAD83"
"343052092575301",17,"330STNL","2017-07-25",29.2,544,515,-92.9649389,34.5146472,"NAD83"
"343052092575601",18,"330STNL","2017-07-25",27.09,549,522,-92.9656583,34.5145222,"NAD83"
"343032092592501",22,"330STNL","2017-07-25",10.79,549,538,-92.9903333,34.50905556,"NAD83"
"343031092592401",23,"330STNL","2017-07-25",2.65,557,554,-92.99015,34.50881667,"NAD83"
"343029092591801",24,"330STNL","2017-07-25",12.9,542,529,-92.9884556,34.5082,"NAD83"
"343042092581001",26,"330STNL","2017-07-26",21.57,532,510,-92.9694806,34.5117583,"NAD83"
"343043092574901",27,"330STNL","2017-07-26",61.7,545,483,-92.9636917,34.512075,"NAD83"
"343116092573101",28,"330STNL","2017-07-26",14.32,537,523,-92.9586472,34.52127778,"NAD83"
"343124093000101",29,"330STNL","2017-07-26",4.15,470,466,-93.00022222,34.52341667,"NAD83"
"343216092590201",31,"330STNL","2017-07-24",27.34,573,546,-92.9839806,34.53791944,"NAD83"
"343221092590101",32,"330STNL","2017-07-24",0.94,581,580,-92.9837306,34.5394361,"NAD83"
"343235092584701",33,"330STNL","2017-07-24",-0.28,565,565,-92.9799917,34.54326667,"NAD83"
"343111093000801",35,"330STNL","2017-07-27",4.16,461,457,-93.00241111,34.51996667,"NAD83"
"343128092595901",36,"330STNL","2017-07-27",12.56,470,457,-92.9998639,34.52456667,"NAD83"
"343447092594601",38,"330STNL","2017-07-27",32.05,656,624,-92.9961528,34.57989444,"NAD83"
"343210092590201",39,"330STNL","2017-07-25",25.34,541,516,-92.9841278,34.53625556,"NAD83"
"343232092585801",44,"330STNL","2017-07-25",44.96,660,615,-92.9829778,34.54248056,"NAD83"
"343210092591201",45,"330STNL","2017-07-24",30.81,558,527,-92.9867,34.5362,"NAD83"
"343217092591201",46,"330STNL","2017-07-24",13.62,616,602,-92.9867,34.5381,"NAD83"
"343259092581501",47,"330STNL","2017-07-26",8.74,681,672,-92.97105,34.5499611,"NAD83"
"343043092584601",50,"330STNL","2017-07-26",21.15,590,569,-92.9796278,34.51211667,"NAD83"
"343044092584601",51,"330STNL","2017-07-26",19.63,585,565,-92.9795222,34.51224444,"NAD83"
"343049092582401",52,"330STNL","2017-07-26",15.7,564,548,-92.9734389,34.51388056,"NAD83"
"343049092582201",53,"330STNL","2017-07-26",-0.54,556,557,-92.9729472,34.5138583,"NAD83"
"343052092582601",54,"330STNL","2017-07-26",19.98,590,570,-92.9740583,34.514675,"NAD83"
"343039092582301",55,"330STNL","2017-07-26",27.45,519,492,-92.9730806,34.5109361,"NAD83"
"343151092594601",56,"330STNL","2017-07-26",10.15,574,564,-92.9963472,34.53090278,"NAD83"
