"well_id","x","y","surface_elevation","depth_to_water","gw_elevation"
"MW-01",502848.68,4641228.49,185.13,18.48,166.65
"MW-02",502914.37,4642015.7,183.89,18.39,165.5
"MW-03",500994.11,4640210.46,190.43,18.97,171.45
"MW-04",502599.82,4642407.23,184.35,18.66,165.7
"MW-05",502043.15,4640219.44,189.02,20.02,169
"MW-06",501681.33,4640750.3,188.4,18.87,169.53
"MW-07",502322.94,4642602.49,185.08,19.1,165.98
"MW-08",500547.27,4641821.21,185.85,15.05,170.81
"MW-09",502088.13,4641205.83,186.17,17.06,169.11
"MW-10",502229.94,4641354.79,185.45,16.73,168.73
"MW-11",501500.34,4640299.19,189.96,19.65,170.31
"MW-12",502271.38,4642779.88,185.51,19.59,165.92
"MW-13",502907.28,4641344.14,184.87,18.76,166.11
"MW-14",500903.52,4642737.58,187.3,18.33,168.97
"MW-15",501513.76,4642552.55,186.63,18.47,168.16
"MW-16",502923.04,4641895.94,183.94,18.05,165.89
"MW-17",503035.77,4642773.06,184.95,20.89,164.07
"MW-18",500496.59,4641839.92,185.73,14.79,170.93
"MW-19",501551.24,4641083.58,187.66,17.55,170.12
"MW-20",501802.98,4641118.88,187.01,17.42,169.59
"MW-21",502816.89,4641255.99,184.99,18.19,166.8
"MW-22",500559.19,4642279.44,186.02,15.74,170.27
"MW-23",503067.23,4640303.18,187.8,21.06,166.74
"MW-24",502942.67,4642184.31,183.94,18.68,165.26
"MW-25",500393.19,4641994.78,185.36,14.43,170.93
"MW-26",501666.92,4640653.85,188.7,19.03,169.67
"MW-27",501301.1,4640891.88,188.64,18.65,169.99
"MW-28",502821.93,4641563.19,184.3,17.83,166.47
"MW-29",501468.56,4641990.36,186.14,16.18,169.96
"MW-30",502616.21,4642804.47,185.11,19.99,165.12
"MW-31",502325.91,4642212.79,184.49,17.07,167.42
"MW-32",502542.61,4641701.19,184.28,16.65,167.63
